,Delta
2020-05-09 04:00:00,-1.5169267500000032
2020-05-09 05:00:00,-1.6661471666666614
2020-05-09 06:00:00,-1.5567708333333314
2020-05-09 07:00:00,-1.5910149999999987
2020-05-09 08:00:00,-1.7492184166666505
2020-05-09 09:00:00,-2.0335943333333404
2020-05-09 10:00:00,-1.9578118333333376
2020-05-09 11:00:00,-1.5755197500000047
2020-05-09 12:00:00,-1.4506509166666604
2020-05-09 13:00:00,-1.3830733333333285
2020-05-09 14:00:00,-1.3657546666666676
2020-05-09 15:00:00,-1.2328126666666748
2020-05-09 16:00:00,-1.0582021666666748
2020-05-09 17:00:00,-1.0765617499999962
2020-05-09 18:00:00,-1.286719499999997
2020-05-09 19:00:00,-1.3946630000000155
2020-05-09 20:00:00,-1.50299458333334
2020-05-09 21:00:00,-1.5589858333333382
2020-05-09 22:00:00,-1.5326834166666785
2020-05-09 23:00:00,-1.5914055833333125
2020-05-10 00:00:00,-1.5557284166666676
2020-05-10 01:00:00,-1.6088546666666446
2020-05-10 02:00:00,-1.5998710833333476
2020-05-10 03:00:00,-1.6319010000000134
2020-05-10 04:00:00,-1.7260419999999923
2020-05-10 05:00:00,-1.7747394999999884
2020-05-10 06:00:00,-1.8169261666666612
2020-05-10 07:00:00,-1.7664064166666689
2020-05-10 08:00:00,-1.7664054999999903
2020-05-10 09:00:00,-1.816666666666684
2020-05-10 10:00:00,-1.833723666666664
2020-05-10 11:00:00,-1.8999995833333332
2020-05-10 12:00:00,-1.8424467499999932
2020-05-10 13:00:00,-1.7898438333333289
2020-05-10 14:00:00,-1.7843761666666822
2020-05-10 15:00:00,-1.7996097499999948
2020-05-10 16:00:00,-1.7907569999999993
2020-05-10 17:00:00,-1.7665380000000042
2020-05-10 18:00:00,-1.7749999166666726
2020-05-10 19:00:00,-1.8666659999999953
2020-05-10 20:00:00,-1.9499999999999889
2020-05-10 21:00:00,-1.998437000000003
2020-05-10 22:00:00,-2.17603991666666
2020-05-10 23:00:00,-2.2029945833333286
2020-05-11 00:00:00,-2.295183500000008
2020-05-11 01:00:00,-2.4864585833333313
2020-05-11 02:00:00,-2.593750749999998
2020-05-11 03:00:00,-2.686459166666665
2020-05-11 04:00:00,-2.7932301666666675
2020-05-11 05:00:00,-2.8786448333333325
2020-05-11 06:00:00,-2.9666662499999887
2020-05-11 07:00:00,-2.8593741666666617
2020-05-11 08:00:00,-2.8903649999999885
2020-05-11 09:00:00,-3.0662767500000068
2020-05-11 10:00:00,-3.2174489166666764
2020-05-11 11:00:00,-3.016926833333329
2020-05-11 12:00:00,-2.5497391666666687
2020-05-11 13:00:00,-2.466797833333338
2020-05-11 14:00:00,-2.233333083333335
2020-05-11 15:00:00,-2.2062493333333317
2020-05-11 16:00:00,-2.0509117499999903
2020-05-11 17:00:00,-2.0335936666666825
2020-05-11 18:00:00,-1.8834632500000128
2020-05-11 19:00:00,-1.8320295000000044
2020-05-11 20:00:00,-1.76692658333333
2020-05-11 21:00:00,-1.7332031666666836
2020-05-11 22:00:00,-1.7496085833333268
2020-05-11 23:00:00,-1.7429684999999893
2020-05-12 00:00:00,-1.7498705833333332
2020-05-12 01:00:00,-1.7065109166666588
2020-05-12 02:00:00,-1.7082037499999956
2020-05-12 03:00:00,-1.6075506666666612
2020-05-12 04:00:00,-1.5958328333333398
2020-05-12 05:00:00,-1.55794341666666
2020-05-12 06:00:00,-1.5578127499999823
2020-05-12 07:00:00,-1.5089844999999755
2020-05-12 08:00:00,-1.657421499999991
2020-05-12 09:00:00,-1.8247388333333203
2020-05-12 10:00:00,-1.8924470833333158
2020-05-12 11:00:00,-1.6332030833333206
2020-05-12 12:00:00,-1.4999995833333344
2020-05-12 13:00:00,-1.5345046666666633
2020-05-12 14:00:00,-1.5009105833333365
2020-05-12 15:00:00,-1.3677080833333193
2020-05-12 16:00:00,-1.2006503333333498
2020-05-12 17:00:00,-1.3593724166666592
2020-05-12 18:00:00,-1.5687499999999872
2020-05-12 19:00:00,-1.6197906666666595
2020-05-12 20:00:00,-1.683072833333334
2020-05-12 21:00:00,-1.6736974166666627
2020-05-12 22:00:00,-1.8591146666666705
2020-05-12 23:00:00,-1.95950458333332
2020-05-13 00:00:00,-2.0759101666666595
2020-05-13 01:00:00,-2.1084636666666725
2020-05-13 02:00:00,-2.0160165833333394
2020-05-13 03:00:00,-2.024479333333339
2020-05-13 04:00:00,-2.0255203333333185
2020-05-13 05:00:00,-2.0587245833333303
2020-05-13 06:00:00,-2.0651048333333293
2020-05-13 07:00:00,-2.0083336666666725
2020-05-13 08:00:00,-1.9411452499999984
2020-05-13 09:00:00,-1.999999333333335
2020-05-13 10:00:00,-1.6343738333333278
2020-05-13 11:00:00,-1.374219083333344
2020-05-13 12:00:00,-1.208332166666672
2020-05-13 13:00:00,-1.2165368333333433
2020-05-13 14:00:00,-1.2075519166666666
2020-05-13 15:00:00,-1.067447416666667
2020-05-13 16:00:00,-0.9746093333333404
2020-05-13 17:00:00,-1.058333833333343
2020-05-13 18:00:00,-1.3087238333333673
2020-05-13 19:00:00,-1.4692713333333531
2020-05-13 20:00:00,-1.4604174166666508
2020-05-13 21:00:00,-1.5497398333333408
2020-05-13 22:00:00,-1.6845051666666675
2020-05-13 23:00:00,-1.941667333333335
2020-05-14 00:00:00,-2.172159454545458
2020-05-14 01:00:00,-2.3669261666666657
2020-05-14 02:00:00,-2.365364166666652
2020-05-14 03:00:00,-2.341927833333351
2020-05-14 04:00:00,-2.2170579166666613
2020-05-14 05:00:00,-2.150000249999998
2020-05-14 06:00:00,-2.058723499999985
2020-05-14 07:00:00,-2.015625583333332
2020-05-14 08:00:00,-1.9250004166666628
2020-05-14 09:00:00,-1.7999995000000126
2020-05-14 10:00:00,-1.7247401666666775
2020-05-14 11:00:00,-1.6083346666666856
2020-05-14 12:00:00,-1.3423167499999875
2020-05-14 13:00:00,-1.1416662499999928
2020-05-14 14:00:00,-0.8748696666666689
2020-05-14 15:00:00,-0.8411449999999974
2020-05-14 16:00:00,-0.8080729166666671
2020-05-14 17:00:00,-0.8079434166666815
2020-05-14 18:00:00,-0.898959000000012
2020-05-14 19:00:00,-1.0092441666666758
2020-05-14 20:00:00,-1.1842440000000067
2020-05-14 21:00:00,-1.5174480000000088
2020-05-14 22:00:00,-1.6755219166666675
2020-05-14 23:00:00,-1.6994806666666733
2020-05-15 00:00:00,-1.7796872499999807
2020-05-15 01:00:00,-1.8088533333333388
2020-05-15 02:00:00,-1.799999666666686
