Date,kW,OAT,AHU_01_Discharge_Fan_01_Speed
2019-01-02 18:00:00,229.24400000000003,34.05209986,0.0
2019-01-02 18:15:00,248.422,31.29686673,0.0
2019-01-02 18:30:00,231.933,29.88540014,0.0
2019-01-02 18:45:00,230.597,30.489566800000002,0.0
2019-01-02 19:00:00,229.03799999999998,29.44270007,0.0
2019-01-02 19:15:00,241.83599999999998,27.197933199999998,0.0
2019-01-02 19:30:00,251.63400000000001,25.92709986,0.0
2019-01-02 19:45:00,235.926,25.57290014,0.0
2019-01-02 20:00:00,230.313,24.973966600000004,0.0
2019-01-02 20:15:00,238.99,24.713533399999996,0.0
2019-01-02 20:30:00,250.821,23.697933199999998,0.0
2019-01-02 20:45:00,248.0,23.177066800000002,0.0
2019-01-02 21:00:00,248.90200000000002,23.36979993,0.0
2019-01-02 21:15:00,238.40900000000002,23.177066800000002,0.0
2019-01-02 21:30:00,247.31400000000002,22.96876653,0.0
2019-01-02 21:45:00,267.09,22.32813327,0.0
2019-01-02 22:00:00,245.0,21.75516701,0.0
2019-01-02 22:15:00,239.06799999999998,21.55733299,0.0
2019-01-02 22:30:00,264.823,21.046899800000002,0.0
2019-01-02 22:45:00,259.142,20.55729993,0.0
2019-01-02 23:00:00,248.61900000000003,20.18229993,0.0
2019-01-02 23:15:00,259.182,20.34376653,0.0
2019-01-02 23:30:00,259.52099999999996,20.30729993,0.0
2019-01-02 23:45:00,275.155,19.68753306,0.0
2019-01-03 00:00:00,251.252,19.58333333,0.0
2019-01-03 00:15:00,261.784,19.536466600000004,0.0
2019-01-03 00:30:00,280.079,19.26563327,0.0
2019-01-03 00:45:00,260.616,19.19273313,0.0
2019-01-03 01:00:00,274.992,19.35936673,0.0
2019-01-03 01:15:00,265.408,19.10936673,0.0
2019-01-03 01:30:00,260.375,18.265600199999998,0.0
2019-01-03 01:45:00,278.41900000000004,18.30726687,0.0
2019-01-03 02:00:00,269.783,19.05726687,0.0
2019-01-03 02:15:00,270.784,19.66669973,0.0
2019-01-03 02:30:00,284.171,20.03126653,0.0
2019-01-03 02:45:00,274.48900000000003,20.33333333,0.0
2019-01-03 03:00:00,285.357,20.44270007,0.0
2019-01-03 03:15:00,258.45,20.39063327,0.0
2019-01-03 03:30:00,279.927,21.06770007,0.0
2019-01-03 03:45:00,273.053,20.82813327,0.0
2019-01-03 04:00:00,270.758,20.70833333,0.0
2019-01-03 04:15:00,293.815,20.58333333,0.0
2019-01-03 04:30:00,279.501,20.8125,0.0
2019-01-03 04:45:00,282.945,20.70313327,0.0
2019-01-03 05:00:00,281.418,20.85416667,0.0
2019-01-03 05:15:00,270.185,21.04686673,0.0
2019-01-03 05:30:00,274.847,21.36983299,0.0
2019-01-03 05:45:00,297.045,21.359399800000002,0.0
2019-01-03 06:00:00,615.935,21.75520007,35.52
2019-01-03 06:15:00,957.7339999999999,21.97399966,59.94
2019-01-03 06:30:00,1006.284,22.34373347,59.13
2019-01-03 06:45:00,997.778,22.68753306,59.17
