Date,OAT,kWH
1/3/2020,32.49722222,7367.500003
1/4/2020,27.49402778,7755.090909
1/5/2020,29.96527778,6850.500003
1/6/2020,31.75347222,10101.50001
1/7/2020,30.25416667,9768.000015
1/8/2020,13.57013889,10075
1/9/2020,36.17083333,9024.500005
1/10/2020,31.10138889,8957.500015
1/11/2020,21.83541667,5635
1/12/2020,22.54444444,7333.000008
1/13/2020,28.64027778,10321.5
1/14/2020,32.30972222,9228.500013
1/15/2020,27.31597222,9534.000013
1/16/2020,9.920833333,10541.50001
1/17/2020,16.1125,10432.50001
1/18/2020,22.21527778,6935.500003
1/19/2020,10.17569444,9788.00002
1/20/2020,16.99791667,8691.000027
1/21/2020,15.81875,11019.50001
1/22/2020,27.14583333,10052.50001
1/23/2020,31.70763889,8911.000013
1/24/2020,33.21319444,8064.500022
1/25/2020,33.14027778,5646.5
1/26/2020,30.18333333,6292
1/27/2020,30.4875,9137.00001
1/28/2020,27.5375,9177.500013
1/29/2020,26.28888889,8995.500005
1/30/2020,29.3875,8998.000013
1/31/2020,32.11666667,8670.000007
2/1/2020,34.17430556,6931.500003
2/2/2020,40.73055556,5305.500003
2/3/2020,34.24861111,8364.50002
2/4/2020,26.775,8644.045467
2/5/2020,21.72083333,9283.000007
2/6/2020,24.00625,8881.50001
2/7/2020,26.25625,8862.5
2/8/2020,23.92152778,6473.5
2/9/2020,24.91875,6692.5
2/10/2020,20.39652778,9820.000003
2/11/2020,22.5625,9110.500013
2/12/2020,26.09097222,8988.000003
2/13/2020,8.468055556,9899.500007
2/14/2020,0.982638889,10552.00001
2/15/2020,22.62708333,6959.500005
2/16/2020,27.14097222,6754.5
2/17/2020,29.87847222,9399.500015
2/18/2020,27.39097222,9090.500007
2/19/2020,11.86597222,9729.50001
2/20/2020,6.972222222,9947.5
2/21/2020,19.60763889,7534.5
2/22/2020,31.84097222,5439.500003
2/23/2020,37.37986111,5375.5
2/24/2020,34.45277778,8924.000023
2/25/2020,30.92083333,8685.000025
2/26/2020,25.61666667,8918.000005
2/27/2020,22.93680556,9078.00001
2/28/2020,18.04097222,9516.00001
2/29/2020,22.12777778,7522.00002
3/1/2020,38.71736111,5043
3/2/2020,34.42916667,8404.000027
3/3/2020,35.16041667,7761.000013
3/4/2020,35.16527778,8227.000013
3/5/2020,37.11875,7824.00002
3/6/2020,29.67777778,8341.363646
3/7/2020,35.26041667,4982
3/8/2020,47.9442029,4431.5
3/9/2020,46.94791667,6937.000008
3/10/2020,37.84513889,7462.000008
3/11/2020,39.57083333,7389.500013
3/12/2020,43.05208333,7669.000015
3/13/2020,36.55486111,7027.000008
