Date,ahuDat,ahuStatic,hws,oat,vavDat,vavDpr,vavHtg,znt
2018-02-01 04:00:06.819000-06:00,64.2733,0.43081074953079224,158.4516,12.3643,85.0532,70.0,100.0,60.7283
2018-02-01 04:00:06.874000-06:00,64.2733,0.43081074953079224,158.4516,9.9759,85.0532,70.0,100.0,60.7283
2018-02-01 04:15:03.127000-06:00,64.2733,0.43081074953079224,158.4516,9.9759,84.8626,70.0,100.0,60.7283
2018-02-01 04:15:03.140000-06:00,64.2733,0.43081074953079224,158.4516,9.9759,84.8626,70.0,100.0,60.7228
2018-02-01 04:15:06.892000-06:00,64.2733,0.43081074953079224,160.8045,9.9759,84.8626,70.0,100.0,60.7228
2018-02-01 04:15:06.938000-06:00,64.2733,0.43081074953079224,160.8045,8.6037,84.8626,70.0,100.0,60.7228
2018-02-01 04:30:03.125000-06:00,64.2733,0.43081074953079224,160.8045,8.6037,85.184,70.0,100.0,60.7228
2018-02-01 04:30:03.138000-06:00,64.2733,0.43081074953079224,160.8045,8.6037,85.184,70.0,100.0,60.5649
2018-02-01 04:30:06.976000-06:00,64.2733,0.43081074953079224,164.0418,8.6037,85.184,70.0,100.0,60.5649
2018-02-01 04:30:07.023000-06:00,64.2733,0.43081074953079224,164.0418,7.5541,85.184,70.0,100.0,60.5649
2018-02-01 04:45:03.129000-06:00,64.2733,0.43081074953079224,164.0418,7.5541,85.7469,70.0,100.0,60.5649
2018-02-01 04:45:03.143000-06:00,64.2733,0.43081074953079224,164.0418,7.5541,85.7469,70.0,100.0,60.4293
2018-02-01 04:45:06.908000-06:00,64.2733,0.43081074953079224,163.3241,7.5541,85.7469,70.0,100.0,60.4293
2018-02-01 04:45:06.957000-06:00,64.2733,0.43081074953079224,163.3241,6.5518,85.7469,70.0,100.0,60.4293
2018-02-01 05:00:03.077000-06:00,64.2733,0.43081074953079224,163.3241,6.5518,85.9338,70.0,100.0,60.4293
2018-02-01 05:00:03.090000-06:00,64.2733,0.43081074953079224,163.3241,6.5518,85.9338,70.0,100.0,60.2961
2018-02-01 05:00:06.845000-06:00,64.2733,0.43081074953079224,162.1752,6.5518,85.9338,70.0,100.0,60.2961
2018-02-01 05:00:06.893000-06:00,64.2733,0.43081074953079224,162.1752,5.5632,85.9338,70.0,100.0,60.2961
2018-02-01 05:15:03.085000-06:00,64.2733,0.43081074953079224,162.1752,5.5632,123.1171,70.0,100.0,60.2961
2018-02-01 05:15:03.098000-06:00,64.2733,0.43081074953079224,162.1752,5.5632,123.1171,70.0,100.0,60.1313
2018-02-01 05:15:06.997000-06:00,64.2733,0.43081074953079224,163.9274,5.5632,123.1171,70.0,100.0,60.1313
2018-02-01 05:15:07.047000-06:00,64.2733,0.43081074953079224,163.9274,4.7634,123.1171,70.0,100.0,60.1313
2018-02-01 05:30:03.072000-06:00,64.2733,0.43081074953079224,163.9274,4.7634,127.8692,70.0,100.0,60.1313
2018-02-01 05:30:03.090000-06:00,64.2733,0.43081074953079224,163.9274,4.7634,127.8692,70.0,100.0,61.7518
2018-02-01 05:30:06.971000-06:00,64.2733,0.43081074953079224,166.7463,4.7634,127.8692,70.0,100.0,61.7518
2018-02-01 05:30:07.019000-06:00,64.2733,0.43081074953079224,166.7463,4.5254,127.8692,70.0,100.0,61.7518
2018-02-01 05:45:03.082000-06:00,64.2733,0.43081074953079224,166.7463,4.5254,128.2086,70.0,100.0,61.7518
2018-02-01 05:45:03.096000-06:00,64.2733,0.43081074953079224,166.7463,4.5254,128.2086,70.0,100.0,64.5209
2018-02-01 05:45:06.898000-06:00,64.2733,0.43081074953079224,163.6224,4.5254,128.2086,70.0,100.0,64.5209
2018-02-01 05:45:06.949000-06:00,64.2733,0.43081074953079224,163.6224,3.9312,128.2086,70.0,100.0,64.5209
2018-02-01 06:00:03.048000-06:00,64.2733,0.43081074953079224,163.6224,3.9312,130.38,70.0,100.0,64.5209
2018-02-01 06:00:03.088000-06:00,64.2733,0.43081074953079224,163.6224,3.9312,130.38,70.0,100.0,71.1167
2018-02-01 06:00:06.899000-06:00,64.2733,0.43081074953079224,161.948,3.9312,130.38,70.0,100.0,71.1167
2018-02-01 06:00:06.946000-06:00,64.2733,0.43081074953079224,161.948,3.1752,130.38,70.0,100.0,71.1167
2018-02-01 06:15:03.012000-06:00,64.2733,0.43081074953079224,161.948,3.1752,122.8721,70.0,100.0,71.1167
2018-02-01 06:15:03.025000-06:00,64.2733,0.43081074953079224,161.948,3.1752,122.8721,70.0,100.0,72.3522
2018-02-01 06:15:06.869000-06:00,64.2733,0.43081074953079224,161.4693,3.1752,122.8721,70.0,100.0,72.3522
2018-02-01 06:15:06.935000-06:00,64.2733,0.43081074953079224,161.4693,2.8416,122.8721,70.0,100.0,72.3522
2018-02-01 06:30:03.006000-06:00,64.2733,0.43081074953079224,161.4693,2.8416,115.9086,70.0,100.0,72.3522
2018-02-01 06:30:03.022000-06:00,64.2733,0.43081074953079224,161.4693,2.8416,115.9086,70.0,100.0,68.3374
2018-02-01 06:30:06.979000-06:00,64.2733,0.43081074953079224,163.2018,2.8416,115.9086,70.0,100.0,68.3374
